name,Affiliation,Citations
bryan catanzaro,NVIDIA,11719
oleksii kuchaiev,NVIDIA,1876
chris paxton,NVIDIA,422
prabod rathnayaka,"Center for Data Analytics and Cognitions, La Trobe University ",4
maya cakmak,University of Washington,3850
gina-anne levow,University of Washington,2428
minjoon seo,University of Washington,1785
dianqi li,University of Washington,1074
hannah rashkin,University of Washington,653
phoebe mulcaire,University of Washington,479
ofir press,University of Washington,453
antoine bosselut,University of Washington,395
sewon min,University of Washington,367
maxwell forbes,University of Washington,342
bhargavi paranjape,University of Washington,271
rik koncel-kedziorski,University of Washington,219
zeqiu wu,University of Washington,194
kuo-hao zeng,University of Washington,190
jungo kasai,University of Washington,121
akari asai,University of Washington,84
terra blevins,University of Washington,82
gabriel ilharco,University of Washington,73
gašper beguš,University of Washington,67
mohit shridhar,University of Washington,65
colin lockard,University of Washington,53
aida amini,University of Washington,45
chia-hsuan lee,University of Washington,39
rosario scalise,University of Washington,24
kevin lybarger,University of Washington,23
lucy h. lin,University of Washington,14
william r. kearns,University of Washington,4
seraphina goldfarb-tarrant,University of Washington,3
hervé bourlard,"Director, Idiap Research Institute; Professor at EPFL ",17384
frédéric kaplan,Ecole Polytechnique Fédérale de Lausane,6623
pearl pu,"Maître d'enseignement et de recherche (senior scientist), EPFL ",6398
dimitris kiritsis,EPFL,4331
martin jaggi,EPFL,4194
martin rohrmeier,"Associate Professor of Digital Musicology, École Polytechnique Fédérale de Lausanne ",1933
andreas spitz,"École polytechnique fédérale de Lausanne (EPFL), Switzerland ",219
panayiotis smeros,École Polytechnique Fédérale de Lausanne (EPFL),161
jean-baptiste cordonnier,"PhD Student, EPFL ",112
rabeeh karimi mahabadi,EPFL,83
florian mai,"PhD Student, Idiap Research Institute & EPFL ",31
sidak pal singh,"IST Austria, EPFL ",12
juan zuluaga-gomez,PhD student at École polytechnique fédérale de Lausanne,10
pierre beckmann,EPFL,6
diego antognini,Ecole Polytechnique Fédérale de Lausanne,5
àlex r. atrio,"PhD Student, HEIG-VD and EPFL ",1
véronique moriceau,"IRIT, Université de Toulouse ",740
michalis vazirgiannis,"Professor, Ecole Polytechnique, joint AUEB ",15218
jean-baptiste remy,Ecole Polytechnique,1
michalina strzyz,University of A Coruña,24
jessica rodrigues da silva,Universidade Federal do Paraná (UFPR),20
fabrice guillet,"Full Professor, Computer Science, LS2N CNRS UMR6004, University of Nantes, Polytech … ",1960
diederik aerts,"Professor, Center Leo Apostel, Brussels Free University ",7995
srikanth madikeri,"Research Associate, Idiap ",308
lesly miculicich,"Idiap Research Institute, EPFL ",153
dhananjay ram,"EPFL, Idiap Research Institute ",141
shantipriya parida,Idiap Research Institute,112
alireza mohammadshahi,IDIAP/EPFL,1
imane guellil,Ecole Superieur d'Informatique (ESI),172
leon derczynski,ITU Copenhagen,3014
rob van der goot,Postdoc IT university of Copenhagen,231
arzucan özgür,"Department of Computer Engineering, Bogazici University ",2149
ozan arkan can,"Ph.D Candidate in Computer Science & Engineering, Koc University ",121
deniz yuret,"Professor of Computer Engineering, Koc University, Istanbul ",3604
nizar habash,"Associate Professor, Computer Science, New York University Abu Dhabi ",9357
dima taji,"Graduate Research Assistant, New York University Abu Dhabi ",208
mai oudah,"Lecturer, Computer Science, New York University Abu Dhabi ",182
dietrich klakow,"Saarland Informatics Campus, Saarland University ",4250
vera demberg,"Saarland University, Saarland Informatics Campus ",1735
denys poshyvanyk,"Associate Professor of Computer Science, William and Mary ",11708
william yang wang,"University of California, Santa Barbara ",2565
gengchen mai,"PhD Candidate, University of California, Santa Barbara ",321
wenhan xiong,"University of California, Santa Barbara ",319
yijun xiao,"University of California, Santa Barbara ",198
gushu li,"University of California, Santa Barbara ",96
wanrong zhu,"University of California, Santa Barbara ",42
xiyou zhou,"University of California, Santa Barbara ",37
andrew gaut,"University of California, Santa Barbara ",36
yi-lin tuan,"University of California, Santa Barbara ",33
prince zizhuang wang,University of California Santa Barbara,15
xifeng yan,"Professor, Computer Science, Univ. of California at Santa Barbara ",20288
georgiana dinu,Amazon AWS,2523
sravan babu bodapati,Amazon.com; Amazon Web Services,204
sravan bodapati,Amazon.com; Amazon Web Services,204
zihao ye,Amazon Web Services,79
adewale akinfaderin,Amazon Web Services,2
michael kohlhase,"Informatik, FAU Erlangen-Nürnberg ",6544
deyan ginev,"PhD Student in Computer Science, University of Erlangen-Nuremberg ",321
srijan bansal,"Student, IIT Kharagpur, India ",3
tanja bunk,Rasa Technologies GmbH,195
johannes e. m. mosig,Rasa Technologies GmbH,103
daqing he,"Professor, School of Computing and Information, University of Pittsburgh ",3595
mona diab,"Professor of Computer Science, George Washington University ",8642
ekaterina shutova,"ILLC, University of Amsterdam ",1663
sandro pezzelle,"ILLC, University of Amsterdam ",161
mario giulianelli,"Institute for Logic, Language and Computation, University of Amsterdam ",56
laura hollink,Centrum Wiskunde & Informatica,3182
nello cristianini,University of Bristol,57668
lena schmidt,University of Bristol,7
wei lun lim,Universiti Malaysia Perlis,15
pranesh bhargava,BITS Pilani Hyderabad Campus,95
xiaowen chu,"Professor, Department of Computer Science, Hong Kong Baptist University ",5004
razieh baradaran,Department of Technology and Engineering,10
takuma ebisu,"SOKENDAI, National Institute of Informatics ",66
isaac k. e. ampomah,Ulster University,20
jakob grue simonsen,"Department of Computer Science, University of Copenhagen (DIKU) ",1112
nanna inie,"IT University of Copenhagen, Computer Science ",24
frosina stojanovska,"Ss. Cyril and Methodius University, Faculty of Computer Science and Engineering, Skopje … ",2
martina toshevska,"Ss. Cyril and Methodius University, Faculty of Computer Science and Engineering, Skopje … ",1
y. mallawarachchi,"Senior Lecturer, Sri Lanka Institute of Information Technology ",27
anupiya nugaliyadde,"Murdoch University, Sri Lanka Institute of Information Technology ",66
takashi shibuya,Sony Corporation,79
yoan dinkov,Norges idrettsforbund,3
mucahid kutlu,TOBB ETU,235
yavuz selim kartal,TOBB ETU University of Economics and Technology,1
vasudha bhatnagar,"Professor, Deptt of Computer Science, University of Delhi, Delhi, India ",1014
kenneth a. norman,"Professor of Psychology and Neuroscience, Princeton University ",13292
maja pantic,"Professor, Imperial College London / AI Scientific Research Lead, Facebook London ",33708
francesca toni,Imperial College London,8577
gerard gorman,Imperial College London,2504
yunjie gu,Imperial College London,1856
marek rei,"Lecturer, Imperial College London ",832
josiah wang,Imperial College London,525
ozan caglayan,Imperial College London,304
pranava madhyastha,Imperial College London,179
oana cocarascu,Imperial College London,125
alexander terenin,Imperial College London,74
piyawat lertvittayakumjorn,Imperial College London,25
mikolaj kegler,"PhD student, Imperial College London ",24
m. tarik altuncu,Imperial College London,11
rolandos alexandros potamias,Imperial College London,7
jianhong wang,Imperial College London,4
andrei-octavian brabete,Imperial College London,2
batuhan güler,Imperial College London,2
nicolò frisiani,"Master in Machine Learning, Imperial College London ",1
heeyoul choi,Handong Global University,907
matthias samwald,Medical University of Vienna,2918
asan agibetov,Postdoc at Medical Unviersity of Vienna,65
stefan ruseti,"University ""Politehnica"" of Bucharest ",124
maria nadejde,Grammarly,472
dimitrios alikaniotis,Grammarly,181
vipul raheja,Grammarly,27
kostiantyn omelianchuk,Grammarly,2
xiaofang zhou,"Professor of Computer Science, University of Queensland ",13207
brian c. lovell,"Professor, The University of Queensland ",7558
jayden l. macklin-cordes,"PhD Candidate, The University of Queensland, Australia ",11
le thai linh,University of Queensland,1
richard andrew taylor,"Lecturer in Materials Chemistry, University of the West Indies, St. Augustine ",222
bart dhoedt,GHENT UNIVERSITY,8541
tijl de bie,"Full Professor, Ghent University ",5347
cedric de boom,Ghent University,259
luna de bruyne,"Language and Translation Technology Team, Ghent University ",6
judith degen,"Assistant professor, Stanford University (Linguistics) ",736
mohammad r. k. mofrad,"Professor of Bioengineering and Mechanical Engineering, University of California Berkeley ",10313
c. lee giles,Pennsylvania State University,43581
ting-hao 'kenneth' huang,Pennsylvania State University,561
ankur mali,"PhD , Pennsylvania  State University ",117
chieh-yang huang,Penn State University,16
ting-yao hsu,Pennsylvania State University,4
herman kamper,Stellenbosch University,881
astik biswas,"Postdoc Fellow, Stellenbosch University ",337
benjamin van niekerk,Stellenbosch University,30
elan van biljon,"Graduate student, Stellenbosch University ",24
solomiia fedushko,Lviv Polytechnic National University,1227
sofia kolos,Lviv Polytechnic National University,21
pattarawat chormai,Max Planck School of Cognition,5
sathyanarayanan n. aakur,"Assistant Professor, Oklahoma State University ",32
iraklis moutidis,PhD student at the University of Exeter,1
adrian groza,Technical University of Cluj-Napoca,376
richard dobson,"Group lead and Professor in Bioinformatics, Kings College London ",17058
rebecca bendayan,King´s College London,937
natalia criado,King's College London,810
xavier ferrer aran,"PhD, King's College London ",34
orazio angelini,King's College London,14
pushkal agarwal,King's College London,14
shinichi nakajima,"Machine Learning Group, Technische Universität Berlin ",2110
babak naderi,Technical University of Berlin,222
luka nenadovi?,University of Belgrade,19
amit awekar,"Indian Institute of Technology, Guwahati ",201
saipraneeth gouravaraju,"PhD Scholar, Indian Institute of Technology Guwahati ",18
akshay parekh,"Research Scholar, Indian Institute of Technology, Guwahati ",1
pratik ratadiya,Pune Institute of Computer Technology,1
siddharth patki,"Graduate Student, University of Rochester ",24
flavian vasile,Criteo,420
irina krotova,Siberian Federal University (????????? ??????????? ???????????),340
c raina macintyre,"Professor and Head, Biosecurity Program, Kirby Institute, UNSW Medicine, UNSW ",11451
shifeng liu,"PhD Candidate, University of New South Wales ",8
qinru qiu,"Professor of Computer Engineering, Syracuse University ",3714
amar shrestha,Syracuse University,58
marcin kardas,"Wydzia? Zarz?dzania, Uniwersytet Warszawski ",141
meysam asgari-chenaghlu,"Faculty of Computer Engineering, University of Tabriz, Tabriz ",57
k. a. abdul nazeer,"Professor, Dept. of Computer Science and Engineering, National Institute of Technology ",505
katikapalli subramanyam kalyan,Ph.D. candidate @ NIT Trichy,10
chris develder,Ghent University - imec,4460
mehrnoush shamsfard,"Associate Professor of Computer Engineering, Shahid Beheshti University ",1629
ehsan taher,Shahid Beheshti University,2
nasrin taghizadeh,University of Tehran,87
amir vakili tahami,"Master's student, University of Tehran ",8
sajad movahedi,University of Tehran,5
heshaam faili,"Associate Professor, University of Tehran ",754
seyed hossein khasteh,KN Toosi University of Technology,94
azadeh shakery,"Associate Professor, Electrical and Computer Engineering Department, University of Tehran ",1311
alireza saleh sedghpour,School of Computer Engineering Iran University of Science and Technology,2
lior wolf,The School of Computer Science at Tel Aviv University,32356
omer levy,Tel Aviv University,7850
amir globerson,Tel Aviv University,5555
jonathan berant,"Senior Lecturer (Assistant Professor), Tel-Aviv University, Research Scientist, AI2 ",3654
edgar meij,Bloomberg,2377
daniel preotiuc-pietro,Bloomberg LP,2158
noam koenigstein,Tel-Aviv University,1707
eliya nachmani,PhD student at Tel-Aviv University & Facebook AI Research (FAIR),594
jonathan herzig,Tel-Aviv University,322
ben bogin,Tel Aviv University,160
mor geva,Tel Aviv University,77
veronica latcinnik,"MSc student, Tel-Aviv University ",37
brit youngmann,Tel Aviv University,17
guy tevet,Google Research; Tel-Aviv University;,14
heni ben amor,"Assistant Professor, Arizona State University ",1740
yezhou yang,"Assistant Professor, Arizona State University ",1582
hermann ney,RWTH Aachen University,63148
markus strohmaier,"RWTH Aachen University, Germany and GESIS - Leibniz Institute for the Social Sciences ",4382
saab mansour,RWTH Aachen University,324
parnia bahar,"PhD Student, RWTH Aachen University ",137
christoph lüscher,"Graduate Student, Human Language Technology and Pattern Recognition Group, RWTH … ",72
tobias menne,"Human Language Technology and Pattern Recognition Group, RWTH Aachen University ",56
christopher brix,"Master Student in Computer Science, RWTH Aachen ",37
nick rossenbach,Master Student in Computer Science at RWTH Aachen,34
yingbo gao,RWTH Aachen University,16
radomir popovi?,RWTH Aachen,3
qiongkai xu,The Australian National University and CSIRO Data61,1268
michael r. lyu,"Professor of Computer Science & Engineering, The Chinese University of Hong Kong ",36566
jeffrey xu yu,Chinese University of Hong Kong,27132
hongsheng li,Assistant Professor at The Chinese University of Hong Kong,9242
kam-fai wong,chinese university of hong kong,6012
haiqin yang,Ping An Life Insurance Co of China Ltd. & The Chinese University of Hong Kong,3007
lidong bing,"Alibaba DAMO, Tencent, CMU, CUHK ",1396
songxiang liu,The Chinese University of Hong Kong,63
hou pong chan,"PhD Student, Department of Computer Science and Engineering, The Chinese University of … ",36
xingshan zeng,The Chinese University of Hong Kong,19
kwong sak leung,"Professor of Computer Science and Engineering, Chinese University of Hong Kong ",8307
wenxiang jiao,"Computer Science & Engineering, The Chinese University of Hong Kong ",92
nigel collier,"Director of Research in Computational Linguistics, University of Cambridge ",6873
anna korhonen,"Professor, Computer Science and Linguistics, University of Cambridge ",6668
daniele quercia,University of Cambridge,5570
tsung-hsien wen,"PolyAI, University of Cambridge ",2986
ivan vulic,"Senior Research Associate, University of Cambridge ",2578
pei-hao su,"PolyAI, University of Cambridge ",2563
adrian weller,"Principal Research Fellow, Machine Learning, University of Cambridge ",1033
helen yannakoudakis,University of Cambridge,920
jason naradowsky,"Research Associate, University of Cambridge ",919
pawe? budzianowski,"PolyAI, Cambridge University ",599
iñigo casanueva,"PolyAI, University of cambridge ",546
bo-hsiang tseng,Cambridge University,285
daniela gerz,"PolyAI; PhD student, Language Technology Lab, University of Cambridge ",280
chunyang wu,University of Cambridge,279
robert stojnic,University of Cambridge,201
kris cao,University of Cambridge,168
edoardo m. ponti,"PhD in Computational Linguistics, University of Cambridge ",162
haim dubossarsky,"Research Fellow, University of Cambridge ",157
johannes bausch,University of Cambridge,142
guy emerson,University of Cambridge,101
danielle saunders,Cambridge University,55
victor prokhorov,University of Cambridge,41
rowan hall maudslay,University of Cambridge,28
shangmin guo,University of Cambridge,27
qingbiao li,University of Cambridge,12
paula czarnowska,University of Cambridge,11
ilia shumailov,"PhD candidate, University of Cambridge ",84
ekaterina kochmar,"Research associate, Computer Science, University of Cambridge ",306
bilal abu-salih,"The University of Jordan, Curtin University ",192
karin verspoor,"Professor, School of Computing and Information Systems; The University of Melbourne ",5722
jey han lau,"Computing and Information Systems, The University of Melbourne ",2835
j. h. lau,"Computing and Information Systems, The University of Melbourne ",2835
jianzhong qi,"School of Computing and Information Systems, The University of Melbourne ",779
simon šuster,"School of Computing and Information Systems, The University of Melbourne ",187
farhana m. choudhury,"School of Computing and Information Systems, University of Melbourne ",140
kemal kurniawan,"School of Computing and Information Systems, The University of Melbourne ",15
marina fomicheva,"University of Sheffield, Department of Computer Science ",56
mark hepple,"Reader in Computer Science, University of Sheffield ",2743
hinrich schütze,University of Munich,51479
christian heumann,"Professor Statistik, Ludwig-Maximilians-Universität München ",4476
dietrich trautmann,University of Munich,25
matthias aßenmacher,LMU München,20
gerhard rigoll,"Professor for Human-Machine Communication, TU München ",13911
ioannis vlahavas,"Professor of Computer Science, Aristotle University of Thessaloniki, Greece ",13405
grigorios tsoumakas,Aristotle University of Thessaloniki,11958
yannis papanikolaou,PhD Aristotle University of Thessaloniki,92
alexios gidiotis,Aristotle University of Thessaloniki,1
nikolaos stylianou,"PhD Student, Aristotle University of Thessaloniki ",1
victor escorcia,KAUST,1592
sören auer,"Leibniz University of Hannover, TIB Leibniz Information Centre for Science and Technology … ",20236
ralph ewerth,"Professor, Leibniz Information Centre for Sci. & Techn. (TIB), Leibniz Universität Hannover … ",1061
eric müller-budack,Technische Informationsbibliothek Hannover,24
klesti hoxha,University of Tirana,10
sandro skansi,"Assistant Professor of Logic, University of Zagreb ",74
martin tutek,"PhD Student, University of Zagreb ",38
vivien macketanz,Deutsches Forschungszentrum für Künstliche Intelligenz,464
aman shakya,"Lecturer, Institute of Engineering, Tribhuvan University ",84
steven bethard,"Assistant Professor, University of Arizona ",9462
emmi bevensee,University of Arizona,7
dustin bowers,"Visiting Scholar, University of Arizona ",35
xavier illy,Cagayan State University,4
william caicedo-torres,"Assistant Professor, Universidad Tecnológica de Bolívar ",57
baris bozkurt,?zmir Demokrasi Üniversitesi,1633
ivan vankov,New Bulgarian University,200
natalia loukachevitch,Leading Researcher of Lomonosov Moscow State University,3317
mark fishel,University of Tartu,1078
kirill milintsevich,University of Tartu,5
adín ramírez rivera,"Assistant Professor at Institute of Computing, UNICAMP ",922
sabine wehnert,"PhD student at Otto von Guericke University Magdeburg, Germany ",3
elaheh momeni,University of Vienna,497
isabella czedik-eysenberg,"Research Assistant, University of Vienna ",37
henning fernau,"Professor für Informatik, Universität Trier ",4602
ralf schenkel,"Professor of Computer Science, Universitaet Trier ",4468
achim rettinger,Trier University,1713
mirko lenz,Trier University,12
younes samih,"Dusseldorf University, Germany ",301
franziska heine,"Information Science, Heinrich Heine University Düsseldorf ",28
lukas schmelzeisen,"Institute for Web Science and Technologies (WeST), University of Koblenz-Landau ",5
oliver deussen,"Professor of Computer Science, University of Konstanz  ",10091
bela gipp,"Prof. for Data & Knowledge Eng., University of Wuppertal. Before: Konstanz & UC Berkeley ",3298
andreas jungherr,"Juniorprofessor Social Science Data Collection and Analysis, Universität Konstanz ",2130
mennatallah el-assady,University of Konstanz,418
fabian sperrle,University of Konstanz,77
philipp scharpf,"Doctoral researcher, University of Konstanz ",34
asja fischer,"Professor for Machine Learning, Ruhr University Bochum ",2139
dorothea kolossa,Ruhr-Universität Bochum,1319
anton batliner,University of Augsburg / FAU Erlangen,10968
lukas stappen,"Research Assistant, University of Augsburg ",17
philipp cimiano,"Professor for Computer Science, Bielefeld University ",14439
johannes rausch,"PhD Student in Computer Science, ETH Zurich ",25
zitouni abdelhafid,université Constantine 2 - Abdelhamid MEHRI,68
jean-paul vila,Mathématiques Toulouse,2090
fazli can,Bilkent University,2275
david tuckey,"Assistant Professor, History, Bilkent University, Turkey ",179
erkut erdem,"Associate Professor of Computer Science, Hacettepe University ",1878
semih yagcioglu,"PhD Candidate in Computer Science, Hacettepe University ",79
jyoti prakash singh,National Institute of Technology Patna,1128
saadat m. alhashmi,University Of Sharjah,444
alan f. smeaton,"Prof of Computing / Founding Director, Insight Centre for Data Analytics, Dublin City … ",17522
mark t. keane,"Professor of Computer Science, University College Dublin ",12201
mark t keane,"Professor of Computer Science, University College Dublin ",12201
tony veale,"School of Computer Science, University College Dublin ",5010
brian mac namee,University College Dublin,1665
benjamin r. cowan,University College Dublin,626
ruihai dong,UCD,393
philip r. doyle,University College Dublin,90
demian gholipour ghalandari,"Insight Centre for Data Analytics, University College Dublin ",13
demian gholipour,"Insight Centre for Data Analytics, University College Dublin ",13
justin edwards,"PhD Student, University College Dublin ",91
philipp wicke,"PhD student, University College Dublin ",10
georgiana ifrim,"Assistant Professor, University College Dublin, Insight Centre for Data Analytics & ML-Labs … ",1430
ted briscoe,"Professor of Computational Linguistics, University of Cambridge ",8993
ann copestake,"Professor of Computational Linguistics, University of Cambridge ",8806
rohola zandie,"Ph.D. Student, Ritchie School of Engineering and Computer Science , University of Denver ",2
amba kulkarni,"Department of Sanskrit Studies, University of Hyderabad ",535
alexander n. gorban,"Professor of Applied Mathematics, University of Leicester, UK ",11544
alain goriely,"University of Oxford, Mathematical Institute ",13093
gabriele pergola,PhD student at the University of Warwick,14
lianhui qin,"CSE, University of Washington ",295
steven derby,Queens University Belfast,5
marcel ausloos,Univ. of Leicester & Bucharest Univ. of Economic Studies; ex. Univ. Liege,16780
sandro sozzo,"Associate professor, University of Leicester (United Kingdom) ",1466
pengyuan liu,Univeristy of Leicester,6
ladislav lenc,University of West Bohemia,273
md rabiul awal,Universiti Malaysia Terengganu (UMT),86
barbara di eugenio,"Professor, University of Illinois Chicago ",3345
robert jäschke,"Professor of Information Processing and Analytics, Humboldt University Berlin & L3S … ",4389
leon weber,Humboldt-Universität zu Berlin,298
florian böhm,Humboldt University of Berlin,43
muhammad abdul-mageed,University of British Columbia,1440
miikka silfverberg,University of British Columbia,646
varada kolhatkar,University of British Columbia,273
abdelrahim elmadany,The University of British Columbia,56
linzi xing,University of British Columbia,26
marjan albooyeh,University of British Columbia,7
shreyansh singh,"Junior CSE Undergrad, IIT (BHU) Varanasi ",3
marko robnik-sikonja,"Professor od Computer Science and Informatics, University of Ljubljana ",4843
marko robnik-šikonja,"Professor od Computer Science and Informatics, University of Ljubljana ",4843
massimo melucci,"Professor of Computer Science, University of Padua, Italy ",1925
benyou wang,"Ph.D. student, Marie Sklodowska-Curie Researcher, University of Padova ",465
qiuchi li,University of Padova,119
andrea bacigalupo,"Associate Professor (with Full Professor Qualification), University of Genoa ",857
kazuki irie,"IDSIA - Dalle Molle Institute for Artificial Intelligence (the Swiss AI Lab), USI / SUPSI ",493
fabio massimo zanzotto,"Associate Professor, University of Rome ""Tor Vergata"" ",2431
alan ramponi,"University of Trento, Italy & The Microsoft Research COSBI ",1
paolo cremonesi,"Dept. Computer Science, Politecnico di Milano ",3974
fabio crestani,"Faculty of Informatics, Universitá della Svizzera Italiana (USI), Lugano, Switzerland ",6535
ivan sekuli?,"PhD Student, Università della Svizzera italiana ",37
fabrizio sebastiani,"Istituto di Scienza e Tecnologie dell'Informazione, Consiglio Nazionale delle Ricerche (ISTI … ",24284
seyedmostafa sheikhalishahi,University of Trento,25
andrei c. coman,University of Trento,4
alessandra cervone,"PhD student, University of Trento ",54
endang wahyu pamungkas,"PhD Student, Universita Degli Studi di Torino ",204
alessio del bue,Fondazione Istituto Italiano di Tecnologia (IIT),2992
tommaso teofili,Università Roma Tre,4
alessandro calefati,Università degli Studi dell'Insubria,76
dirk hovy,Bocconi University,2130
debora nozza,"Postdoctoral Researcher, Bocconi University ",204
surafel m. lakew,Fondazione Bruno Kessler & University of Trento,99
surafel melaku lakew,Fondazione Bruno Kessler & University of Trento,99
vevake balaraman,"University of Trento, Fondazione Bruno Kessler ",54
ivano lauriola,"Student, University of Padova ",28
bernardo magnini,"Researcher, Fondazone Bruno Kessler - FBK, Trento, Italy ",8979
marco turchi,Fondazione Bruno Kessler (FBK),3814
luisa bentivogli,"Researcher, Fondazione Bruno Kessler ",3649
daniele falavigna,researcher Fondazione Bruno Kessler,2543
sara tonelli,"Researcher, Fondazione Bruno Kessler ",1608
marco guerini,Fondazione Bruno Kessler,1132
alessio palmero aprosio,Fondazione Bruno Kessler,506
mattia antonino di gangi,"PhD Candidate at Università degli Studi di Trento and Fondazione Bruno Kessler, Trento … ",206
alina karakanta,Fondazione Bruno Kessler (FBK) / University of Trento,46
amirhossein tebbifakhr,Fondazione Bruno Kessler,28
luca pasa,University of Padova - Department of Mathematics,65
rita cucchiara,Università degli Studi di Modena e Reggio Emilia,15956
marcella cornia,"Postdoctoral Researcher, University of Modena and Reggio Emilia ",556
matteo stefanini,"PhD Candidate, University of Modena and Reggio Emilia ",13
lorenzo de mattei,"Co-Founder & CTO @ Aptus.AI; PhD Candidate, University of Pisa ",26
paolo torroni,University of Bologna,3181
alberto barrón-cedeño,DIT-Università di Bologna,3141
alberto barron-cedeno,DIT-Università di Bologna,3141
cinzia viroli,"Dept. of Statistical Sciences, University of Bologna, Italy ",635
andrea galassi,"PhD student, Università di Bologna ",74
francesco a. n. palmieri,Full Professor - Università della Campania Luigi Vanvitelli,2565
leonardo badino,PerVoice,1047
shreyas sunil kulkarni,BITS Pilani,3
aman shenoy,"Senior year undergraduate, Birla Institute of Technology and Science - Pilani ",1
yannis tzitzikas,"Computer Science Department, University of Crete ",2033
liesbeth allein,"PhD researcher, KU Leuven ",2
nianwen xue,"Assoicate Professor, Computer Science, Brandeis University ",6710
emiel krahmer,Tilburg University,8009
afra alishahi,Tilburg University,899
ákos kádár,"Tilburg Center for Cognition and Communication, Tilburg University ",338
emiel van miltenburg,Tilburg University,308
thiago castro ferreira,Tilburg University,148
chris emmery,Lecturer / Researcher at Tilburg University and University of Antwerp,108
lieke gelderloos,"PhD student, Tilburg University ",102
reinhold haeb-umbach,"Professor of Communications Engineering, University of Paderborn ",6203
christoph boeddeker,Paderborn University,232
diego moussallem,Paderborn University,182
hamada m. zahera,University of Paderborn,43
thilo von neumann,"Master's student, Paderborn University ",35
jens heitkaemper,"PhD student, Department of Communication, Paderborn University ",58
alessandro seganti,Samsung R&D Poland,26
grace hui yang,"Associate Professor of Computer Science, Georgetown University ",1586
yanbin zhao,"School of Environmental Science and Engineering , Shanghai Jiao Tong University ",543
luca manzoni,"Dipartimento di Matematica e Geoscienze, Università degli Studi di Trieste ",1231
cristian guillermo gebhardt,"Group Leader at the Institute of Structural Analysis, Leibniz Universität Hannover ",397
asmelash teka hadgu,PhD student at Leibniz Universität Hannover,213
ahmad sakor,PhD Student @Leibniz University Hannover & Research Assistant @ L3S Research Center,36
aditya khandelwal,College of Engineering Pune,3
yuan-fang li,Monash University,1524
sameen maruf,Monash University,160
xuanli he,Monash University,119
fahimeh saleh,PhD student at Monash University,6
mario golling,Universität der Bundeswehr München,342
tomasz dwojak,Adam Mickiewicz University,414
marek kubis,Adam Mickiewicz University in Pozna?,69
johannes dellert,"Seminar für Sprachwissenschaft, Universität Tübingen ",206
volker tresp,Ludwig Maximilian University of Munich / München (LMU) and Siemens AG,12284
kakia chatsiou,"Senior Research Officer, University of Essex ",20
serge sharoff,"Associate Professor, University of Leeds ",2400
guoxiu he,Wuhan University,11
victoria yaneva,"Scientist, National Board of Medical Examiners; Lecturer, University of Wolverhampton ",185
ruslan mitkov,University of Wolverhampton,4996
mirjam ernestus,Radboud University Nijmegen & Max Planck Institute for Psycholinguistics,4618
łukasz augustyniak,Wroclaw University of Science and Technology,81
siwei fu,Zhejiang Lab,166
furao shen,"Department of Computer Science & Technology, Nanjing University ",1737
haoyang huang,"Professor of Chemistry, Fuzhou University ",17406
nobuhiro ito,Aichi Institute of Technology,242
jörg tiedemann,"Professor of Language Technology, University of Helsinki ",5719
martti vainio,University of Helsinki,4088
marianna apidianaki,University of Helsinki,1422
krister lindén,"Research Director, University of Helsinki ",1327
alessandro raganato,University of Helsinki,1065
tuomo hiippala,"Assistant Professor of English Language and Digital Humanities, University of Helsinki ",578
umut sulubacak,University of Helsinki,532
tommi jauhiainen,University of Helsinki,264
lidia pivovarova,University of Helsinki,204
mika hämäläinen,University of Helsinki,99
anssi yli-jyrä,"HELDIG, University of Helsinki ",316
jack rueter,"Visiting Researcher, University of Helsinki ",93
qianying liu,"Master Student, Kyoto University ",2
hidetoshi shimodaira,Kyoto University,13719
sadao kurohashi,Kyoto University,5351
yugo murawaki,Kyoto University,126
haiyue song,Kyoto University,2
zhuoyuan mao,Kyoto University,1
hanqing tao,University of Science and Technology of China (USTC),11
hadi abdi khojasteh,Institute for Advanced Studies in Basic Sciences (IASBS),2
petr sojka,"Associate Professor of Computer Science, Masaryk University ",3367
vit baisa,Masaryk University,935
jakub harašta,"Institute of Law and Technology, Masaryk University ",70
shie mannor,"Professor of Electrical Engineering, Technion ",15428
eiran vadim harel,Be'er Ya'akov Mental Health Center,852
majid asgari-bidhendi,Iran University of Science and Technology,9
taha shangipour ataei,Iran University of Science and Technology,1
behrouz minaei-bidgoli,"Associate Professor, School of Computer Engineering, Iran University of Science and … ",4212
reza safabakhsh,"Professor of Computer Engineering, Amirkabir University of Technology ",2551
saeedeh momtazi,Assistant Professor of Amirkabir University of Technology,288
zahra abbasiantaeb,"Master Student of Artificial Intelligence, Amirkabir University of Technology ",1
azzam mourad,"Associate Professor of Computer Science, Lebanese American University ",1136
hossein sameti,"Associate Professor, Sharif University of Technology ",1158
ehsan montahaei,MS student at Sharif University of Technology,15
behnam sabeti,Ph.D. candidate at Sharif University of Technology,13
eisa alanazi,"Assistant Professor, Umm Al-Qura University ",136
bracha shapira,Ben-Gurion University of the Negev,9605
michael elhadad,"Professor of Computer Science, Ben Gurion University of the Negev ",4716
victor makarenkov,Ben-Gurion University of the Negev,57
arie pratama sutiono,Airy,114
yanhui peng,CDC,1953
amr al-khatib,Nile University,9
berry de bruijn,National Research Council,1362
kathleen c. fraser,National Research Council,611
zhizheng wu,FB,3888
salim roukos,IBM,25709
